Country,Population
Argentina ,45794179
Australia,26439111
Austria,8958960
Belgium,11686140
Brazil,216422446
Bulgaria,6687717
Canada,38781291
Chile,19629590
Colombia,52085168
Costa Rica,5212173
Croatia,4008617
Cyprus,1260138
Czech Republic,10495295
Denmark,5910913
Estonia,1322765
Finland ,5545475
France,64756584
Germany,83294633
Greece,10341277
Hungary,10156239
India,1428627663
Indonesia,277534122
Ireland,5056935
Italy,58870762
Japan,123294513
Latvia,1830211
Lithuania,2718352
Luxembourg,654768
Malta,535164
Mexico,128455567
Netherlands,17618299
New Zealand,5228100
Norway,5474360
Poland,41026067
Portugal,10247605
Romania,19892812
Russia,144444359
Singapore,6014723
Slovak Republic,5795199
Slovenia,2119675
South Africa,60414495
South Korea,51784059
Spain,47519628
Sweden,10612086
Switzerland,8796669
Turkey,85816199
UAE,9516871
United Kingdom,67736802
United States,339996563
Vietnam,98858950